Date,Type,Link
2/7/2023 10:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AlyndaCourse%3A4361005
2/6/2023 12:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7028339695537262592
1/17/2023 9:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021014696925278208
1/17/2023 2:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7020615064399327233
1/15/2023 16:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7020092004009132032
1/6/2023 16:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017015229381316609
1/6/2023 16:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017155183088406528
1/5/2023 16:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016784166457393154
1/5/2023 7:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016645031956508672
1/3/2023 12:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016015749542502400
1/3/2023 9:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7015937756413476865
12/30/2022 2:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7014156867450859522
12/28/2022 10:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013787150097760257
12/28/2022 7:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013127548008091648
12/28/2022 7:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013730490952085504
12/27/2022 2:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7010834159417896960
12/26/2022 10:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7013052960851017728
12/25/2022 12:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7012743295969714176
12/23/2022 13:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7012001192574640128
12/22/2022 13:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7011575566625595392
12/20/2022 7:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7010833206648160257
12/20/2022 7:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7010834117940424704
12/15/2022 5:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7009026754006659073
12/14/2022 2:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7008514111378501632
12/13/2022 14:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7007964386002677760
11/30/2022 0:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003407849124978688
11/26/2022 7:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001981877217636352
11/25/2022 7:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7001726196648468480
11/23/2022 5:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000107327076872192
11/23/2022 5:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000908731752361984
11/20/2022 1:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999060901211353088
11/18/2022 17:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999327360734949377
11/7/2022 12:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6995262201297047552
10/31/2022 2:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992530590004572160
10/30/2022 15:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6992400380215091200
10/30/2022 7:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992388200530886656
10/30/2022 5:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6988777060324282368
10/24/2022 10:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6989943637727973376
10/23/2022 7:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6989516793073553409
10/22/2022 15:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6982785003797499904
10/19/2022 12:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6988415526834200577
10/14/2022 12:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6986623094584930305
10/13/2022 7:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6985962844626272256
10/12/2022 6:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6985849105579143169
10/11/2022 14:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6985605604476145664
10/10/2022 10:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6985181391822970880
10/10/2022 10:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6985163979950051328
10/10/2022 8:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6985089844318244864
10/9/2022 4:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984605241610518528
10/8/2022 6:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984186205449953280
10/8/2022 2:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6984219050864201729
10/7/2022 12:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6984078179552407554
10/5/2022 15:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6983399940647464960
10/3/2022 11:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6982611476750446592
10/2/2022 12:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6982295611345678336
10/2/2022 12:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6982319615385194496
9/28/2022 4:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6980660940513923072
9/27/2022 12:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6980165052578295808
9/24/2022 1:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978998801285984256
9/23/2022 14:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6979004132229545984
9/23/2022 14:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6979076275466321920
9/23/2022 10:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978552232774385664
9/22/2022 13:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978667613748887553
9/21/2022 14:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978266124572327936
9/21/2022 14:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6977646244093440001
9/21/2022 14:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978359745002811392
9/20/2022 10:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977881574054748161
9/19/2022 10:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977547127455379456
